"year","goal_id","dimension","region_id","value"
"2012","AO","future","0","74.32"
"2012","AO","future","1","72.62"
"2012","AO","future","2","72.62"
"2012","AO","future","3","41.41"
"2012","AO","future","4","NA"
"2012","AO","future","5","81.75"
"2012","AO","future","6","62.14"
"2012","AO","future","7","80.96"
"2012","AO","future","8","76.42"
"2012","AO","future","9","77.79"
"2012","AO","future","10","66.4"
"2012","AO","future","11","81.26"
"2012","AO","future","12","NA"
"2012","AO","future","13","72.3"
"2012","AO","future","14","54.1"
"2012","AO","future","15","87.16"
"2012","AO","future","16","70.93"
"2012","AO","future","17","81.24"
"2012","AO","future","18","73.79"
"2012","AO","future","19","81.18"
"2012","AO","future","20","57.45"
"2012","AO","future","21","57.75"
"2012","AO","future","24","85.42"
"2012","AO","future","25","82.73"
"2012","AO","future","26","80.63"
"2012","AO","future","28","56.66"
"2012","AO","future","29","63.47"
"2012","AO","future","30","NA"
"2012","AO","future","31","81.92"
"2012","AO","future","32","82.29"
"2012","AO","future","33","NA"
"2012","AO","future","34","NA"
"2012","AO","future","35","NA"
"2012","AO","future","36","NA"
"2012","AO","future","37","73.98"
"2012","AO","future","38","59.11"
"2012","AO","future","39","58.2"
"2012","AO","future","40","83.89"
"2012","AO","future","41","65.9"
"2012","AO","future","42","54.03"
"2012","AO","future","43","81.98"
"2012","AO","future","44","92.23"
"2012","AO","future","45","59.29"
"2012","AO","future","46","66.77"
"2012","AO","future","47","68.94"
"2012","AO","future","48","90.69"
"2012","AO","future","49","63.85"
"2012","AO","future","50","96.14"
"2012","AO","future","51","94.55"
"2012","AO","future","52","87.11"
"2012","AO","future","53","41.65"
"2012","AO","future","54","95.69"
"2012","AO","future","55","78.25"
"2012","AO","future","56","95.62"
"2012","AO","future","57","85.54"
"2012","AO","future","58","79.23"
"2012","AO","future","59","78.85"
"2012","AO","future","60","69.75"
"2012","AO","future","61","69.91"
"2012","AO","future","62","85.92"
"2012","AO","future","63","82.46"
"2012","AO","future","64","78.01"
"2012","AO","future","65","94.99"
"2012","AO","future","66","91.48"
"2012","AO","future","67","45.82"
"2012","AO","future","68","71.39"
"2012","AO","future","69","90.17"
"2012","AO","future","70","89.51"
"2012","AO","future","71","60.03"
"2012","AO","future","72","68.93"
"2012","AO","future","73","74.56"
"2012","AO","future","74","21.53"
"2012","AO","future","75","31.46"
"2012","AO","future","76","82.66"
"2012","AO","future","77","72.64"
"2012","AO","future","78","82.89"
"2012","AO","future","79","76.19"
"2012","AO","future","80","67.37"
"2012","AO","future","81","79.32"
"2012","AO","future","82","48.67"
"2012","AO","future","84","73.99"
"2012","AO","future","85","76.85"
"2012","AO","future","86","87.85"
"2012","AO","future","88","54.83"
"2012","AO","future","89","NA"
"2012","AO","future","90","NA"
"2012","AO","future","91","NA"
"2012","AO","future","92","NA"
"2012","AO","future","93","NA"
"2012","AO","future","94","NA"
"2012","AO","future","95","76.85"
"2012","AO","future","96","99.23"
"2012","AO","future","97","71.73"
"2012","AO","future","98","65.7"
"2012","AO","future","99","78.54"
"2012","AO","future","100","79.68"
"2012","AO","future","101","27.31"
"2012","AO","future","102","51.45"
"2012","AO","future","103","86.61"
"2012","AO","future","104","84.93"
"2012","AO","future","105","NA"
"2012","AO","future","106","72.84"
"2012","AO","future","107","NA"
"2012","AO","future","108","87.69"
"2012","AO","future","110","84.55"
"2012","AO","future","111","87.39"
"2012","AO","future","112","79.22"
"2012","AO","future","113","81.96"
"2012","AO","future","114","75.57"
"2012","AO","future","115","63.85"
"2012","AO","future","116","83.62"
"2012","AO","future","117","80.19"
"2012","AO","future","118","88.32"
"2012","AO","future","119","79.35"
"2012","AO","future","120","100"
"2012","AO","future","121","66.18"
"2012","AO","future","122","78.99"
"2012","AO","future","123","53.44"
"2012","AO","future","124","72.81"
"2012","AO","future","125","62.85"
"2012","AO","future","126","62.72"
"2012","AO","future","127","85.48"
"2012","AO","future","129","76.82"
"2012","AO","future","130","100"
"2012","AO","future","131","98.27"
"2012","AO","future","132","83.27"
"2012","AO","future","133","89.97"
"2012","AO","future","134","80.5"
"2012","AO","future","135","82.88"
"2012","AO","future","136","63.78"
"2012","AO","future","137","85.5"
"2012","AO","future","138","84.54"
"2012","AO","future","139","69.01"
"2012","AO","future","140","76.32"
"2012","AO","future","141","88.27"
"2012","AO","future","143","85.76"
"2012","AO","future","144","NA"
"2012","AO","future","145","84.39"
"2012","AO","future","146","72.58"
"2012","AO","future","147","80.88"
"2012","AO","future","148","47.19"
"2012","AO","future","149","NA"
"2012","AO","future","150","NA"
"2012","AO","future","151","60.98"
"2012","AO","future","152","81.05"
"2012","AO","future","153","79.11"
"2012","AO","future","154","81.71"
"2012","AO","future","155","41.88"
"2012","AO","future","156","59.53"
"2012","AO","future","157","47.19"
"2012","AO","future","158","NA"
"2012","AO","future","159","NA"
"2012","AO","future","161","63.42"
"2012","AO","future","162","79.65"
"2012","AO","future","163","83.53"
"2012","AO","future","164","85.17"
"2012","AO","future","166","39.3"
"2012","AO","future","167","57"
"2012","AO","future","168","68.04"
"2012","AO","future","169","70.25"
"2012","AO","future","171","66.69"
"2012","AO","future","172","53.96"
"2012","AO","future","173","96.76"
"2012","AO","future","174","94.22"
"2012","AO","future","175","72.58"
"2012","AO","future","176","67.73"
"2012","AO","future","177","20.11"
"2012","AO","future","178","96.26"
"2012","AO","future","179","78.33"
"2012","AO","future","180","81.34"
"2012","AO","future","181","76.48"
"2012","AO","future","182","72.79"
"2012","AO","future","183","72.44"
"2012","AO","future","184","63.79"
"2012","AO","future","185","70.93"
"2012","AO","future","186","80.4"
"2012","AO","future","187","82.33"
"2012","AO","future","188","70.23"
"2012","AO","future","189","99.21"
"2012","AO","future","190","94.15"
"2012","AO","future","191","72.38"
"2012","AO","future","192","61.09"
"2012","AO","future","193","79.09"
"2012","AO","future","194","79.79"
"2012","AO","future","195","80.24"
"2012","AO","future","196","82.66"
"2012","AO","future","197","75.47"
